[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.699979   TARGET:-23 LUFS    M: -19.2 S: -17.3     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -17.5 -18.0 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.799979   TARGET:-23 LUFS    M: -19.3 S: -17.3     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -10.7 -10.8 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.899979   TARGET:-23 LUFS    M: -19.3 S: -17.3     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -10.1  -9.8 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.999979   TARGET:-23 LUFS    M: -18.2 S: -17.3     I: -18.1 LUFS       LRA:   4.2 LU  FTPK:  -9.9  -9.2 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.099979   TARGET:-23 LUFS    M: -17.3 S: -17.3     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -10.0  -9.9 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.199979   TARGET:-23 LUFS    M: -17.4 S: -17.3     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -11.2 -11.0 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.299979   TARGET:-23 LUFS    M: -18.1 S: -17.3     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -13.6 -12.6 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.399979   TARGET:-23 LUFS    M: -18.6 S: -17.5     I: -18.1 LUFS       LRA:   4.1 LU  FTPK: -11.8 -10.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.499979   TARGET:-23 LUFS    M: -19.2 S: -17.6     I: -18.1 LUFS       LRA:   4.1 LU  FTPK: -12.5 -12.3 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.599979   TARGET:-23 LUFS    M: -20.0 S: -17.7     I: -18.1 LUFS       LRA:   4.1 LU  FTPK: -15.7 -15.2 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.699979   TARGET:-23 LUFS    M: -15.5 S: -17.2     I: -18.1 LUFS       LRA:   4.1 LU  FTPK:  -3.5  -4.0 dBFS  TPK:  -3.1  -4.0 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.799979   TARGET:-23 LUFS    M: -14.1 S: -16.9     I: -18.0 LUFS       LRA:   4.1 LU  FTPK:  -5.2  -5.8 dBFS  TPK:  -3.1  -4.0 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.899979   TARGET:-23 LUFS    M: -13.2 S: -16.6     I: -17.9 LUFS       LRA:   4.1 LU  FTPK:  -6.4  -6.3 dBFS  TPK:  -3.1  -4.0 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 9.999979   TARGET:-23 LUFS    M: -12.6 S: -16.5     I: -17.8 LUFS       LRA:   4.1 LU  FTPK:  -7.6  -8.0 dBFS  TPK:  -3.1  -4.0 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 10.099979  TARGET:-23 LUFS    M: -13.7 S: -16.4     I: -17.8 LUFS       LRA:   4.1 LU  FTPK:  -7.4  -8.1 dBFS  TPK:  -3.1  -4.0 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 10.199979  TARGET:-23 LUFS    M: -14.6 S: -16.3     I: -17.7 LUFS       LRA:   4.3 LU  FTPK:  -8.7 -10.3 dBFS  TPK:  -3.1  -4.0 dBFS
